Group,N,Mean Betweenness,Mean In-Degree,Mean Out-Degree,Mean PageRank
Retracted,58326,5.743479249057564e-06,0.3824709392037856,28.8825909542914,7.345123514569806e-07
Non-Retracted,1272438,1.0788225861180705e-07,1.3063882090915235,0.0,7.522243382929152e-07
