group,n,mean_exposure,se_exposure,mean_cps,se_cps,mean_post_cites,se_post_cites
"No brokerage
(Q0)",45806,0.39255957984963236,0.0017047600156502264,0.0,0.0,6.053071650002183,0.10054194911751083
"Low brokerage
(Q1)",41,0.18610032380895028,0.054778015795058685,7.345589539432427e-06,2.5325406002155875e-06,0.9512195121951219,0.32186806021350395
"Medium brokerage
(Q2)",41,0.15424890295893745,0.03901949091111349,6.592710669199341e-05,1.8627390165896837e-05,4.2439024390243905,1.5514668463656587
"High brokerage
(Q3)",41,0.11629300839335525,0.032185919502762325,0.0008023570111419683,0.00028784440130132295,3.024390243902439,1.2383544376574558
