institution,retraction_count,median_citations,primary_country
University of Southern California Keck School of Medicine,2,21.0,United States
General Hospital of Beijing Military Region,2,57.5,China
General Hospital of Armed Police Forces,2,26.0,China
General Hospital of Guangzhou Military Command of PLA,2,20.5,China
General Hospital of Guangzhou Military Command,2,81.5,China
General Hospital of General Administration of Agriculture and Reclamation,2,16.0,China
University of South Florida College of Medicine and H. Lee Moffitt Cancer Center and Research Institute,2,52.0,China
University of South Asia,2,60.0,Bangladesh
University of Santo Tomas,2,6.0,Philippines
Shanxi Technology and Business College,2,4.5,China
Navy General Hospital,2,19.5,China
Georgia Health Sciences University,2,38.0,China
Georgetown University Library,2,0.0,United States
George Washington University Medical Center,2,29.5,United States
George Mason University Libraries,2,0.0,United States
Network Information Center,2,5.5,China
University of Sherbrooke,2,14.0,Canada
Shanxi Academy of Agricultural Sciences,2,17.0,China
Shanxi University of Finance & Economics,2,4.0,China
Changsha Central Hospital,2,31.5,China
University of Shahekord,2,28.5,Iran
Changle People’s Hospital,2,13.5,China
Bar Ilan University,2,69.0,Israel
University of Science and Technology of China),2,7.0,China
University of Sciences,2,5.0,Botswana
Bapatla Engineering College,2,9.0,Ethiopia
University of Scranton,2,35.5,India
Netaji Subhas University of Technology,2,3.0,Canada
University of Szczecin,2,26.5,China
University of Stellenbosch,2,2.0,Canada
Ganzhou Municipal Hospital,2,13.0,China
University of Suceava,2,100.5,France
Shanghai Xingjian College,2,8.0,China
New England Medical Centre/Tufts Evidence based Practice Center Institute for Clinical Research and Health Policy Studies,2,283.0,Colombia
Gaomi People’s Hospital,2,22.0,China
Gaomi People's Hospital,2,3.0,China
University of Sri Jayewardenepura,2,5.5,China
General Hospital of Eastern Theater Command,2,16.0,China
New York Presbyterian Hospital and Weill Medical College of Cornell University,2,234.5,United States
Affiliated Jiangyin Hospital of Southeast University Medical College,2,8.5,China
Shanghai Zhongye Hospital,2,3.5,China
Gayatri Vidya Parishad College of Engineering (A),2,2.0,Ethiopia
Affiliated Hospital of Zunyi Medical College,2,12.5,China
Gansu Provincial Cancer Hospital,2,2.0,China
Shangqiu University,2,2.5,China
Gansu Province Hospital,2,12.0,China
University of Tebessa,2,0.5,Algeria
Shanghai Urban Construction Vocational College,2,13.5,China
General Hospital of Daqing Oil Field,2,28.0,China
University of South Florida Morsani College of Medicine,2,23.0,China
General Hospital of Jinan Military Region,2,5.5,China
University of South Carolina Beaufort,2,42.0,Canada
Brain Imaging Centre,2,12.0,Germany
Affiliated Suzhou Hospital of Nanjing Medical University,2,10.5,China
Baoji People’s Hospital,2,4.5,China
Baoji People's Hospital,2,3.5,China
University of TCM,2,47.0,China
Bowling Green State University,2,3.0,China
Geethanjali College of Engineering and Technology,2,15.0,Bangladesh
University of Taizhou,2,1.0,China
Gebze Technical University,2,56.5,China
General Graduate Hoseo University,2,3.5,China
Baotou Teachers’ College,2,1.5,Australia
University of Tampere,2,25.0,Denmark
Baotou Railway Vocational & Technical College,2,3.0,China
General Education Center of the Open University of Kaohsiung,2,21.0,China
Gene Discovery Research Center,2,40.0,Japan
University of Sydney Business School,2,80.5,Australia
Bozhou People's Hospital of Anhui Medical University,2,16.5,China
Govan Hill Health Centre,2,55.5,United Kingdom
Brigham and Women's Hospital and Harvard Medical School,2,226.5,Italy
Baoding University of Technology,2,10.5,China
Government Arts College for Women,2,62.5,Egypt
Sharad Pawar Dental College and Hospital,2,7.0,India
National Urological Cancer Center,2,17.5,China
Shaoyang University Affiliated Second Hospital,2,2.0,China
Goethe University,2,52.0,Canada
University of Puerto Rico Medical Sciences Campus,2,47.0,Puerto Rico
University of Santiago de Compostela,2,27.0,Australia
Goiano Federal Institute and Federal University of Goiás,2,38.5,Brazil
Golestan University of Medical Science,2,22.0,Algeria
Golestan University,2,31.5,Algeria
Sheba Medical Center,2,29.5,Canada
Affiliated Zhongda Hospital of Southeast University,2,2.5,China
Shatt Al-Arab University College,2,49.5,Hungary
Affiliated Tumor Hospital of Zhengzhou University,2,21.0,China
Glenfield Hospital,2,148.5,China
National University of Ireland Galway,2,105.5,India
National University of Modern Language,2,24.0,China
National University of Colombia,2,8.5,Colombia
Government College University (GCU),2,33.5,China
Government College Raigaon,2,24.5,China
National University of Computer & Emerging Sciences,2,4.5,Ghana
ShengJing Hospital of China Medical University,2,32.0,China
Sheng Jing Hospital of China Medical University,2,17.0,China
National University of Defence Technology,2,0.0,China
Government College of Management Sciences,2,51.5,China
University of Primorska,2,6.5,Slovenia
Gong’an County People’s Hospital,2,18.5,China
University of Pittsburgh and the University of Pittsburgh Cancer Institute,2,42.0,United States
University of Plymouth,2,14.0,Australia
University of Poitiers,2,112.5,Belgium
Government Dental College,2,26.5,India
National University of Architecture and Construction of Armenia,2,2.0,Armenia
University of Pittsburgh Medical School,2,18.5,United States
Gongli Hospital,2,10.0,China
University of Philippines,2,1.5,Philippines
Gorgan University of Agricultural Science and Natural Resources,2,12.0,Iran
National University,2,20.5,China
University of Pittsburgh School of Nursing,2,5.0,United States
Gifu Pharmaceutical University,2,32.0,Japan
Gifted School of Nineveh,2,16.5,Ethiopia
University of Rostock,2,16.0,China
Banking University HCMC,2,23.5,Australia
National Yang-Ming University School of Medicine,2,8.5,China
Affiliated to Bharathidasan University,2,78.5,India
Baodi Clinical College of Tianjin Medical University,2,9.0,China
University of Science and Technology Beijing (USTB),2,0.5,China
German Sport University Cologne,2,1.0,Germany
Affiliated Wujiang Hospital of Nantong University,2,3.5,China
Bansomdejchaopraya Rajabhat University,2,4.5,China
German Cochrane Centre,2,36.5,Germany
University of Science and Technology LiaoNing,2,2.0,China
Nazarbaev University,2,2.5,Kazakhstan
Shanxi Institute of Science and Technology,2,2.0,China
Shanxi Professional College of Finance,2,3.5,Australia
University of Sassari,2,6.5,Cyprus
Shanxi Polytechnic College,2,2.5,China
Navy and AJA Medical University,2,22.0,Ghana
German Research Center for Environmental Health,2,4.0,Germany
National University of Laos,2,29.0,China
National University of Life and Environmental Sciences of Ukraine,2,2.0,China
National University of Malaysia (UKM),2,0.0,Malaysia
Global Institute of Management and Technology,2,6.5,Ethiopia
Global Innovation Academy,2,4.0,China
Naval Medical Center San Diego,2,6.5,Canada
Changchun Institute of Applied Chemistry,2,4.5,China
Affiliated Tumor Hospital of Xinjiang Medical University,2,12.0,China
Glorious Sun School of Business and Management Donghua University,2,0.0,China
Gifu University,2,10.5,China
Shanxi Vocational College of Tourism,2,1.5,China
University of Rome Tor Vergata,2,19.0,Italy
Naval Academy,2,0.5,China
Shaoxing Maternity and Child Health Care Hospital,2,2.5,China
Ghent University Global Campus,2,1.0,Belgium
Naval Architecture and Ocean Engineering College,2,5.0,China
Ghazi University Dera Ghazi Khan Punjab,2,11.5,India
University of Samarra,2,2.0,Iraq
University of Saarland,2,4.5,Egypt
University of Saida—Dr Moulay Tahar,2,53.5,Algeria
Glorious Sun School of Business & Management. Donghua University,2,0.0,China
Sichuan Provincial People's Hospital,2,18.5,China
Handan Second Hospital,2,9.5,China
National Cancer Institute/National Institute of Health,2,33.0,United States
University of Electronics Science and Technology of China,2,6.5,China
Sichuan Police College,2,6.5,China
National Cardiovascular Center Research Institute,2,58.0,Japan
University of Engineering and Technology (UET),2,6.0,China
Al Imam Mohammad Ibn Saud Islamic University (IMSIU),2,22.0,Bangladesh
Al Jouf University,2,2.5,Egypt
University of Massachusetts Boston,2,59.0,Netherlands
National Cancer Institute – IRCCS – Fondazione “G. Pascale”,2,3.0,Italy
Hanan Branch of Second Affiliated Hospital of Heilongjiang University of Traditional Chinese Medicine,2,53.0,China
National Cancer Institute-Frederick Cancer Research and Development Center,2,34.5,United States
Al Ghurair University,2,33.0,Ghana
Siberian Federal University,2,17.0,Russia
National Cancer Center,2,88.5,Brazil
National Cancer Center Research Institute,2,147.5,Japan
University of Gabes,2,5.5,China
University of Garmian,2,6.0,India
Al Musanna College of Technology,2,2.0,India
University of Economics and Law,2,76.0,China
University of Economics in Bratislava,2,0.0,Slovakia
Al-Galaa Teaching Hospital,2,15.0,Egypt
National Academy of Public Administration (NAPA),2,15.0,Vietnam
Al-Hadba University College,2,6.0,Iraq
Al-Hadi University College,2,8.0,Iran
Al-Imam University College,2,32.0,Ethiopia
National Academy of Sciences of Ukraine,2,0.0,Slovakia
Sichuan Film and Television University,2,4.0,China
National Center for Atmospheric Research,2,43.0,China
Al-Furat Al-Al-Awsat Technical University,2,0.0,Iraq
Hangzhou TCM Hospital Affiliated to Zhejiang Chinese Medical University,2,2.0,China
Naresuan University,2,14.0,China
Handan Maternal and Child Health Hospital,2,8.0,China
Narxoz University,2,2.0,Kazakhstan
Centre for Paediatric Epidemiology and Biostatistics,2,76.5,United Kingdom
University of Eyvanekey,2,37.5,China
Sichuan International Education Development Research Center,2,1.5,China
National Center for Agricultural Technology (NCAT),2,11.0,Pakistan
Nat. Res. Center for Rehabilitation Tech. Aids,2,0.5,China
Sichuan Business Vocational College,2,2.0,China
Al Naeriyah Hospital,2,1.5,Bahrain
Hainan Modern Women and Children's Hospital,2,11.5,China
Hainan Maternal and Child Health Hospital,2,6.0,China
Al Rahba Hospital,2,4.5,Grenada
Hainan Provincial People's Hospital,2,37.0,China
University of Hawaii at Manoa,2,132.0,India
Hainan Women and Children’s Medical Center,2,5.0,China
Buddhist Tzu Chi General Hospital,2,32.0,Taiwan
Centre for Innovative and Applied Bioprocessing,2,73.0,India
Bandırma Onyedi Eylül University,2,15.5,Egypt
Bugando Medical Centre,2,5.0,Botswana
Builders Engineering College,2,2.5,India
Bryansk State Technical University,2,2.5,Russia
Haining People's Hospital,2,3.0,China
Haikou People's Hospital,2,20.5,China
University of Hacettepe,2,6.5,Turkey
University of Hafer Al-Baten,2,22.5,Egypt
Shuguang Hospital Affiliated to Shanghai University of Chinese Medicine,2,7.5,China
Hainan West Central Hospital,2,17.5,China
Sias International University,2,0.5,China
University of Freiburg,2,5.0,China
Centre for Mathematics & Statistical Sciences,2,1.0,Pakistan
National Center for Toxicological Research – FDA,2,43.0,Mexico
University of Giessen,2,13.0,Austria
Halic University,2,12.5,Germany
Siberian State Medical University (Tomsk),2,8.5,Russia
Haldia Institute of Technology,2,27.0,India
Haldia Institute of Dental Sciences and Research,2,8.5,India
National Center for Injury Prevention and Control,2,135.5,United States
University of Gonabad,2,10.0,China
University of Geoscience,2,0.0,China
Hamedan University of Medical Sciences and Health Services,2,12.0,Iran
Al Yarmouk University College,2,6.5,Iraq
Hamdard Institute of Engineering & Technology,2,18.5,China
Al al-Bayt University,2,2.0,Jordan
HanDan Central Hospital,2,38.5,China
Al- Mustaqbal University College,2,53.5,China
Al-Ain University,2,9.0,Egypt
Hammersmith and Queen Charlotte's Hospitals,2,61.5,Australia
Hamburg University of Technology,2,3.0,Algeria
He Bi College Vocation And Technology,2,1.0,China
Al-Khawarizmi Institute of Computer Science,2,20.0,Pakistan
Havilla University,2,57.0,Australia
Nantong Hospital of Traditional Chinese Medicine,2,3.0,China
Sidharatha Institute of Pharmacy,2,97.5,India
Sikkim Manipal Institute of Technology,2,5.5,India
Al-Iraqia University,2,3.5,Iraq
Harokopio University,2,33.5,Finland
Haripur University,2,5.0,China
Hangzhou Ninth People’s Hospital,2,16.5,China
Harvard Business School,2,15.0,Netherlands
Hartford Hospital,2,1.5,United States
Harrison International Peace Hospital,2,9.5,China
University of Coimbra Rua Sílvio Lima,2,3.0,Canada
University of Chinese Academy of Science (Ningbo No.2 Hospital),2,9.0,China
Harvard School Of Dental Medicine,2,0.5,Germany
University of Chinese Academy of Science (UCAS),2,1.0,China
University of Chinese Academy of Sciences (Ningbo No. 2 Hospital),2,6.0,China
University of Chinese Academy of Sciences (UCAS),2,51.5,China
Harcourt Butler Technical University,2,32.0,Egypt
Siksha O Anusandhan (Deemed to be University),2,8.0,India
University of Chicago Medical Center,2,29.0,United States
Health Center of Changwon City,2,37.0,South Korea
Silla University Global College,2,2.0,China
University of China,2,3.0,China
Bursa Technical University,2,6.0,Turkey
University of Central Punjab Lahore,2,3.0,China
University of Central South,2,0.0,China
Harvard University Medical School,2,39.5,United States
He University,2,11.0,China
Harvard T.H. Chan School of Public Health,2,12.0,Denmark
Hassan II University of Casablanca,2,7.5,China
Nanjing XiaoZhuang University,2,1.0,China
Sinai University,2,8.0,China
Harvard-Smithsonian Center for Astrophysics,2,53.5,Australia
Sinai Hospital of Baltimore,2,0.0,Aruba
Simpson University,2,25.5,Norway
AlNeelain University,2,8.5,Sudan
AlNoor University College,2,3.5,Iraq
Buraimi Hospital,2,8.0,Iran
Centre for DNA Fingerprinting and Diagnostics,2,18.5,India
University of Derby,2,2.0,China
Sichuan Water Conservancy Vocational College,2,7.0,China
Centre for Criminal Justice Economics and Psychology,2,36.0,United Kingdom
Sichuan Vocational and Technical College of Communications,2,4.0,China
University of Doha for Science and Technology,2,27.5,China
Hankuk Academy of Foreign Studies,2,14.5,France
Hankou University,2,0.5,China
University of Dar es Salaam,2,41.0,India
Sigma Institute of Engineering,2,16.0,Ethiopia
Sichuan Vocational College of Information Technology,2,4.0,China
Hanoi Medical University,2,7.5,Italy
Sichuan Vocational College of Finance and Economics,2,9.5,China
Hanyang Hospital of Wuhan University of Science and Technology,2,6.5,China
National Autonomous University of Mexico,2,2.5,Mexico
National Academy of Economics Strategy,2,31.0,Belgium
University of Eastern Piedmont,2,5.0,Italy
Hanzhong People's Hospital,2,4.0,China
University of Economics,2,63.5,China
Hanoi University of Pharmacy,2,6.0,Egypt
University of Craiova,2,0.5,India
Harbin Institute of Technology Shenzhen Graduate School,2,24.0,China
Harbin Institute of Technology Harbin,2,1.5,China
University of Cross River State,2,43.5,India
Bahria University Dental College,2,3.5,Armenia
Business Administration School,2,3.5,China
University of Computer Studies,2,0.0,Myanmar (formerly Burma)
University of Connecticut Health Center,2,44.5,United States
University of Colorado at Denver,2,27.5,United States
Centre for Clinical Practice,2,27.0,United Kingdom
Harbin Commercial University,2,3.0,China
Bahria University Medical and Dental College,2,4.5,Cameroon
Sichuan University of Arts and Science,2,1.5,China
Al-Neelain University,2,6.5,Libya
Al-Qasseem University,2,13.0,Egypt
Centre for Chemical Biology,2,20.0,India
Nanzhang County People’s Hospital,2,22.5,China
Harbin Finance University,2,0.5,China
Sichuan University Chengdu,2,5.0,China
Al-Faisal University,2,7.0,Saudi Arabia
Nara Institute of Science and Technology,2,994.5,Japan
Shinshu University,2,1.0,Japan
Shinawatra University,2,6.5,China
University of Lancang Kuning,2,5.5,Indonesia
Guilin University,2,3.0,China
Air Force Logistics College,2,26.0,China
Air Force Medical Center,2,4.0,China
Shidong Hospital of Yangpu District,2,11.5,China
Air Force Radar Academy,2,0.5,China
Air Institute,2,8.0,Japan
Buck Institute for Research on Aging,2,67.5,Canada
Bangladesh Wheat and Maize Research Institute,2,41.0,Bangladesh
University of Magdeburg,2,95.0,Austria
University of Maiduguri,2,31.0,Libya
University of Maiduguri Teaching Hospital,2,25.5,Nigeria
University of Lyon,2,1.5,France
Bangladesh University of Professionals,2,62.0,Bangladesh
Centre of Biomedical Research,2,24.5,India
GuiZhou University,2,1.5,China
National Institute of Agricultural Sciences,2,32.0,South Korea
Bangor University,2,20.5,Canada
National Institute for Biotechnology and Genetic Engineering,2,36.0,China
University of Kuala Lumpur,2,24.5,Australia
National Institute for Biotechnology and Genetic Engineering (NIBGE),2,14.0,China
National Institute for Biotechnology and Genetic Engineering College,2,5.5,Pakistan
Shijiazhuang People’s Hospital,2,2.0,China
University of Kuopio,2,15.0,Brazil
Shimane University School of Medicine,2,212.0,Japan
Shimane University Hospital,2,4.0,Japan
University of Limpopo,2,0.5,Kenya
Centres de Lutte Antituberculeuse,2,6.5,France
Guizhou Province Hospital of Traditional Chinese Medicine,2,17.0,China
Centre of Urban Resource Sustainability,2,24.0,Indonesia
University of Latvia,2,1.0,Latvia
Centre of Pharmaceutical Nanotechnology,2,20.0,India
Centre of Medical Science Analysis,2,7.0,China
University of Laval,2,14.0,Belgium
Shijiazhuang Vocational College of Technology and Information,2,2.5,China
Shinshu University School of Medicine,2,6.5,Japan
Centro Hospitalar Vila Nova De Gaia / Espinho E.P.E,2,0.0,Portugal
University of Lincoln,2,18.0,India
Shijiazhuang Fourth Hospital,2,1.5,China
Aichi Cancer Center Hospital,2,86.5,Brazil
Guang’anmen Hospital China Academy of Chinese Medical Sciences,2,2.5,China
Guangzhou Women and Children’s Medical Center,2,3.5,China
University of Malaya Medical Center,2,8.5,Malaysia
Guangzhou College of South China University of Technology,2,19.0,China
Guangzhou College of Business and Technology,2,0.5,China
Guangzhou Civil Aviation College,2,1.0,China
National Institute of Hygiene and Epidemiology,2,8.0,Japan
GuiZhou Education University,2,8.0,China
National Institute of Electronics and Information Technology (NIELIT),2,13.0,Australia
University of Malaga,2,2115.0,Spain
University of Malaya (UM),2,14.0,Iran
National Institute of Food and Drug Safety Evaluation,2,4.5,Pakistan
University of Maryland at College Park,2,42.5,United States
University of Maryland-College Park,2,1.5,United States
National Institute of Crop Science,2,28.5,South Korea
Guangzhou Medical College,2,43.5,China
Guangzhou Institute of Science and Technology,2,1.5,China
University of Management and Technology Lahore,2,6.0,China
University of Macedonia,2,0.0,Greece
National Institute of Agrobiological Sciences,2,24.5,Japan
Centre of Electrical Energy Systems (CEES),2,57.0,Australia
Centre of Innovative Nanostructures & Nanodevices (COINN),2,63.5,China
National Institute for Physiological Sciences,2,14.5,Japan
Shifa International Hospital,2,0.0,Bangladesh
Shijiazhuang Aier Eye Hospital,2,7.0,China
University of Lodz,2,0.5,Poland
Guangzhou Panyu Central Hospital,2,2.0,China
National Institute of Health and Nutrition,2,8.0,Japan
University of Louisiana at Lafayette,2,37.0,Germany
Guangzhou Municipal Engineering Design & Research Institute Co.,2,1.0,China
Aichi Institute of Technology,2,23.0,China
National Institute for Materials Science,2,18.0,India
Guangzhou Red Cross Hospital,2,5.5,China
Shijiazhuang Institute of Technology,2,2.0,China
Guangzhou Vocational and Technical University of Science and Technology,2,6.0,China
National Institute of Genetics Engineering and Biotechnology (NIGEB),2,35.5,Egypt
Ahv. C. Islamic Azad University,2,4.0,China
Guangzhou University (Guangzhou Institute of International Finance),2,11.0,China
University of Louisiana,2,18.5,Canada
Shri Vishnu Engineering College For Women,2,1.5,India
Shri Venkateshwara University,2,1.0,Bangladesh
University of Helsinki and Helsinki University Hospital,2,23.5,Finland
National Climate Center,2,6.0,China
University of Hohenheim,2,26.5,Bolivia
HaiKou University of Economics,2,2.5,China
University of Illinois Urbana Champaign,2,0.5,Canada
Bundelkhand University,2,279.0,India
National Chengchi University,2,1.5,Taiwan
Guizhou Aerospace Hospital,2,7.0,China
University of Idaho,2,0.5,Lebanon
National Defense University named after the First President of the Republic of Kazakhstan – Elbassy,2,0.0,Kazakhstan
National Digital Switching System Engineering and Technological Research and Development Center,2,0.0,China
Akwa-Ibom State University,2,78.5,Cameroon
Balochistan University of Information Technology,2,27.5,Bangladesh
Gynecologic Cancer Center of Excellence,2,31.0,United States
Banat’s University of Agricultural Sciences and Veterinary Medicine “King Michael I of Romania” from Timisoara,2,89.5,Australia
Banan Hospital of Chongqing Medical University,2,5.5,China
Guy's and St. Thomas' NHS Foundation Trust,2,11.5,Italy
National Chiayi University,2,8.5,China
Hainan Branch of Chinese PLA General Hospital,2,29.5,China
National Centre for Radiation Research and Technology,2,12.0,Egypt
University of Guelma,2,0.5,Algeria
Hainan College of Software Technology,2,1.5,China
Hainan College of Economics and Business,2,6.0,China
University of Guizhou,2,3.5,China
Shunde Hospital of Southern Medical University,2,8.0,China
National Cerebral and Cardiovascular Center Hospital,2,44.5,Japan
Akkamahadevi Women’s University,2,0.5,Bangladesh
Shunyi Hospital,2,1.5,China
Hainan General Hospital/Hainan Affiliated Hospital of Hainan Medical University,2,2.5,China
Akhmet Yassawi International Kazakh-Turkish University,2,3.5,Kazakhstan
National Centre for Biological Sciences,2,10.0,India
National Clinical Research Center for Child Health,2,12.0,China
Hadassah Hebrew University Medical Center,2,14.0,United States
Hadassah Hebrew University Hospital,2,13.5,Israel
Hackensack Meridian School of Medicine at Seton Hall University,2,0.0,United States
Hacettepe University Medical School,2,3.0,Turkey
Shuya branch of Ivanovo State University,2,0.5,Russia
National Clinical Research Center for Digestive Diseases,2,21.5,China
Shulan International Medical College,2,8.5,China
Guizhou University People’s Hospital,2,26.0,China
Akershus University Hospital,2,9.0,Norway
Shri Mata Vaishno Devi University,2,2.5,India
Guizhou University of Engineering Science,2,7.5,China
Gulf University for Science and Technology,2,9.5,China
National Economics University (NEU),2,7.0,India
Gulf Coast State College,2,4.0,United States
Gulbarga University,2,5.0,China
Shijiazhuang Medical College,2,3.0,China
National College of Business Administration and Economics,2,78.5,China
National Institute for Health and Clinical Excellence,2,27.0,United Kingdom
Guizhou Academy of Agricultural Sciences,2,7.5,China
National Institute for Health and Welfare (THL),2,162.0,Finland
Air Force Aviation University,2,0.0,China
Air Force Communication NCO Academy,2,4.5,China
Shijiazhuang Railway Institute,2,2.5,China
University of Kwazulu-Natal,2,4.5,India
University of La Frontera School of Medicine,2,16.0,Brazil
University of La Laguna,2,18.0,Spain
Gulistan State University,2,0.5,Uzbekistan
Shizuoka Cancer Center,2,16.0,Japan
Shivanand Desai Center for Digestive Disorders,2,33.5,France
University of Iowa Hospitals and Clinics,2,0.0,United States
Shouguang People's Hospital,2,16.5,China
University of Istanbul,2,22.5,Turkey
Guru Ghasidas University,2,12.5,Bangladesh
University of Information Technology and Communications,2,6.0,Iraq
Gunma University School of Health Sciences,2,11.0,Germany
University of Innsbruck,2,29.5,Austria
Guizhou University Research Center for Analysis of Drugs and Metabolites,2,26.0,China
Guru Nanak Dev Engineering College,2,9.5,Ethiopia
Guru Jambheshwar University of Science and Technology,2,9.0,India
University of Kinshasa,2,4.5,China
University of Koblenz-Landau,2,8.5,Brazil
University of Kairouan,2,13.5,China
Showa University School of Medicine,2,28.0,Japan
Guy's and St Thomas' Hospital,2,76.0,Australia
Showa University Koto-Toyosu Hospital,2,33.5,France
Guthrie Robert Packer Hospital,2,3.5,Ecuador
Gurukula Kangri University,2,1.0,China
Shobhit University,2,0.5,India
Annapoorana Engineering College,2,0.5,Ethiopia
Liaoning Technology University,2,1.5,China
Jiangxi Cancer Hospital of Nanchang University,2,4.0,China
The Second Affiliated Hospital of Xinjiang Medical University,2,9.0,China
Jiangxi Engineering Vocational College,2,3.5,China
Jiangsu Province Hospital,2,2.5,China
The Second Affiliated Hospital of Wannan Medical College,2,17.5,China
Jiangsu Provincial Center for Disease Control and Prevention,2,3.5,China
Liaoning Ocean and Fisheries Science Research Institute,2,5.0,China
Jiangsu Provincial Academy of Social Sciences,2,1.0,China
The Second Chengdu Affiliated College of Chongqing Medical University,2,2.5,China
Brain Tumor Center,2,31.0,Canada
The 2nd Hospital of Tianjin Medical University,2,13.0,China
The 2nd Hospital of Kunming Medical University,2,1.5,China
Jiangsu Shipping College,2,2.5,China
Jiangsu Shengze Hospital,2,3.0,China
Liaoning Project Technology University,2,4.0,China
The 2nd Clinical Medical College of Jinan University,2,31.0,China
Jiangsu University Zhenjiang,2,7.5,China
The Second Aﬃliated Hospital of Shandong University of Traditional Chinese Medicine,2,13.5,China
Jiangsu University 212013,2,0.5,China
Jiangsu Taizhou People’s Hospital,2,8.0,China
Jiangsu Taizhou People's Hospital,2,20.5,China
Liaoning Petrochemical University,2,6.5,China
The Second Affiliated Hospital of Mudanjiang Medical University,2,10.0,China
Jiangxi Medical College,2,3.5,China
Jiangxi Maternal and Child Health Hospital,2,19.5,China
Jiangxi Pingxiang People’s Hospital,2,19.5,China
Jiangxi Pingxiang People's Hospital,2,3.5,China
Jiangxi Open University,2,8.0,China
Jiangxi Normal University Science and Technology College,2,2.0,China
The 1st Affiliated Hospital of Wenzhou Medical University,2,28.5,China
Jiangxi Provincial Children's Hospital,2,2.5,China
The 1st Affiliated Hospital of Kunming Medical University,2,12.0,China
Jiangxi Province Tumor Hospital,2,4.0,China
Annamacharya Institute of Technology and Sciences (Autonomous),2,5.0,Ethiopia
Liaoning General Aviation Research Institute,2,4.0,China
The Second Affiliated Hospital of Guizhou University of Traditional Chinese Medicine,2,5.5,China
Jiangxi Provincial People’s Hospital,2,5.0,China
Jiangxi Provincial People's Hospital Affiliated to Nanchang University,2,17.5,China
Jiangxi Provincial People's Hospital,2,10.0,China
Anqing First People's Hospital Affiliated to Anhui Medical University,2,1.5,China
Jiangsu Vocational College of Finance and Economics,2,1.5,China
Jiangsu Vocational College of Electronics and Information,2,7.5,China
Jiangsu Vocational College of Business,2,5.5,China
Annamacharya Institute of Technology & Sciences,2,8.5,Bangladesh
Annamacharya Institute of Technology and Sciences,2,27.0,Bangladesh
Liaoning Environment Monitoring Center,2,0.5,China
Lincoln University,2,4.5,Iran
Jiangsu Normal University Kewen College,2,2.5,China
The Second Clinical Medical College of North Sichuan Medical College,2,3.0,China
Lindsley F. Kimball Research Institute,2,93.5,China
Tennessee Technological University,2,0.5,Bangladesh
Termez State University,2,0.0,Uzbekistan
Lincoln Medical and Mental Health Center,2,0.0,United States
Jiangsu Automation Research Institute of CSIC,2,1.0,China
Teresian College,2,14.5,India
Lijiang Teachers College,2,2.5,China
Jiangsu Agri-Animal Husbandry Vocational College,2,1.5,China
Antibacterial Materials R&D Centre,2,59.5,Brazil
The Second Medical Center and National Clinical Research Center for Geriatric Diseases,2,6.0,China
Jiangsu Cancer Hospital and Jiangsu Institute of Cancer Research and The Affiliated Cancer Hospital of Nanjing Medical University,2,23.5,China
Jiangsu Cancer Hospital,2,3.0,China
Texas A and M University,2,35.0,United States
Life Science and Environment Research Institute,2,26.0,Egypt
Liga de Fisioterapia Esportiva - Universidade Federal do Ceará,2,0.0,Brazil
Jian Training School,2,1.0,China
Lihuili Hospital,2,9.0,China
Jiamusi University Basic Medical College,2,0.5,China
Jiamusi Central Hospital,2,14.0,China
Linyi City People’s Hospital,2,6.0,China
The Second Hospital of Yulin,2,42.5,China
Jiangsu Polytechnic University,2,0.0,China
The Second Affiliated Hospital of Zunyi Medical University,2,12.0,China
Thammasat University,2,18.0,Thailand
Thamar University,2,9.5,India
Thaksin University,2,26.5,Canada
Anshun University,2,18.5,China
Antalya Bilim University,2,30.0,Canada
Anthea Hospital,2,9.5,Germany
Library of Soochow University,2,9.5,China
The Second Hospital of Longyan,2,20.0,China
Center for Integrated Protein Science,2,0.0,Germany
Thayer School of Engineering,2,3.0,China
The Second Hospital of Harbin Medical University,2,22.0,China
Jiangsu College of Engineering and Technology,2,1.5,China
Jiangsu Collaborative Innovation Center for Solid Organic Waste Resource Utilization,2,3.5,China
Thanthai Periyar Government Institute of Technology,2,4.0,India
The Second Hospital of Hunan University of Chinese Medicine,2,4.5,China
The Second Clinical School of Medicine,2,1.5,China
Jiangsu Food and Pharmaceutical Science College,2,1.0,China
Liaoning University of International Business and Economics,2,8.5,China
Jiangsu Jiankang Vocational College,2,31.5,China
The 117 Hospital of The PLA,2,50.5,China
Jiangsu Institute of Marine Resources Development,2,1.5,China
Liaquat College of Medicine and Dentistry,2,1.0,Armenia
Jinan Maternal and Child Health Hospital,2,22.0,China
Jinan Infectious Disease Hospital,2,3.0,China
The People’s Hospital of Zhaoyuan City,2,2.5,China
Jinan Infant Normal School,2,3.0,China
The People’s Hospital of Zhengzhou University,2,64.0,China
Leibniz-Institute of Freshwater Ecology and Inland Fisheries,2,76.0,Germany
The People’s Hospital of Shouguang,2,20.0,China
Jinan Maternal and Child Health Hospital Affiliated to Shandong First Medical University,2,2.5,China
Jilin Provincial Tumor Hospital,2,13.5,China
Jilin Provincial People’s Hospital,2,8.0,China
Jilin Provincial Institute of Education,2,3.0,China
The Second Affiliated Hospital of Medical College,2,43.0,China
Jilin Teacher's Institute of Engineering and Technology,2,1.0,China
Lehigh University,2,26.5,Bahrain
