institution,retraction_count,median_citations,primary_country
Tianjin Medical University,61,14.0,China
Duke University Medical Center,61,19.0,United States
New Horizon College of Engineering,61,5.0,India
Universitätsklinikum Heidelberg,61,0.0,Germany
Klinik für Anästhesiologie und Intensivmedizin Marienhaus Klinikum,60,0.0,Germany
Baylor College of Medicine,60,11.5,United States
Jiangxi University of Finance and Economics,60,1.0,China
Yangzhou University,60,4.0,China
Kongu Engineering College,60,5.0,India
The First Affiliated Hospital of Nanchang University,59,8.0,China
Columbia University,59,27.0,United States
Zhejiang Gongshang University,59,2.0,China
University College London,59,18.0,United Kingdom
Al-Mustaqbal University College,59,9.0,India
Zhejiang University of Technology,58,2.0,China
Shandong University of Science and Technology,58,3.0,China
Xi'an Jiaotong University,58,3.5,China
Monash University,58,8.0,Australia
University of Tabuk,58,10.0,India
National University of Singapore,58,21.5,Singapore
University of British Columbia,57,9.0,Canada
Guangzhou University,56,3.0,China
University of Birmingham,56,23.5,United Kingdom
China Medical University Hospital,55,11.0,China
Harbin Engineering University,55,2.0,China
Shanghai Jiaotong University,55,5.0,China
Central China Normal University,55,1.0,China
Donghua University,55,3.0,China
Ningbo University,54,2.0,China
Guangdong University of Technology,54,3.0,China
Al-Farahidi University,54,7.5,Iraq
Huaihe Hospital of Henan University,54,7.5,China
Cornell University,54,19.5,United States
Jiangsu Normal University,54,17.0,China
Peking Union Medical College Hospital,54,13.0,China
The First Affiliated Hospital of Harbin Medical University,53,8.0,China
Liaoning Technical University,53,1.0,China
Princess Nourah Bint Abdulrahman University,53,9.0,Egypt
Bukhara State University,53,0.0,Uzbekistan
Hebei University of Technology,53,1.0,China
McMaster University,53,24.0,Canada
Saveetha Dental College and Hospital,53,0.0,India
Xidian University,53,2.0,China
University of Tokyo,53,30.0,Japan
Dalian Medical University,52,21.0,China
Majmaah University,52,6.0,Saudi Arabia
University of Kufa,52,1.0,Iraq
Quaid-i-Azam University,52,8.0,Pakistan
University of Alberta,52,13.5,Canada
Mashhad University of Medical Sciences,52,17.0,Iran
University of Education,52,12.0,China
VIT University,52,7.0,India
Northeast Normal University,52,2.0,China
Harvard Medical School,52,34.0,United States
Nanyang Technological University,51,18.0,China
Southwestern University of Finance and Economics,51,7.0,China
Jiangnan University,51,3.0,China
University of Pittsburgh,51,25.0,United States
Kunming University of Science and Technology,51,2.0,China
North China University of Water Resources and Electric Power,51,1.0,China
Hubei University of Technology,51,1.0,China
University of Alkafeel,50,0.0,Iraq
Kyoto University,50,18.0,Japan
Shanghai Jiaotong University School of Medicine,50,7.0,China
Beijing University of Chinese Medicine,50,7.5,China
Addis Ababa Science and Technology University,50,10.5,Ethiopia
Tianjin Polytechnic University,50,0.0,China
Shanxi University,50,3.0,China
Tanta University,50,13.0,Egypt
Ordnance Engineering College,50,0.0,China
Third Military Medical University,50,17.5,China
The University of Manchester,50,24.0,United Kingdom
University of Alabama at Birmingham,49,37.0,United States
Beijing Union University,49,1.0,China
Riphah International University,49,9.0,China
University of the Punjab,49,9.0,Pakistan
The First Affiliated Hospital of Chongqing Medical University,49,9.0,China
Lanzhou University,49,3.0,China
Alexandria University,49,10.0,Egypt
Nanjing University of Chinese Medicine,49,5.0,China
Iran University of Medical Sciences,49,12.0,Iran
Saveetha Dental College and Hospitals,48,2.5,India
Chongqing Jiaotong University,48,2.0,China
Wenzhou Medical University,48,9.5,China
Ambo University,48,11.5,Ethiopia
Jining No.1 People's Hospital,48,12.0,China
Stanford University,48,19.0,United States
Shahid Beheshti University of Medical Sciences,48,13.0,Iran
China Agricultural University,48,2.0,China
China Three Gorges University,47,1.0,China
Shanghai University of Engineering Science,47,4.0,China
Xijing University,47,4.0,China
Shaanxi Normal University,47,6.0,China
Sichuan Agricultural University,47,0.0,China
Anhui Medical University,47,17.0,China
Tianjin University of Technology,47,1.0,China
University of Jeddah,47,6.0,Saudi Arabia
Wuhan University of Science and Technology,46,1.0,China
Duke University,46,20.0,United States
University of Washington,46,13.0,United States
University of New South Wales,46,22.0,Australia
Renmin University of China,46,1.0,China
The First Affiliated Hospital of Nanjing Medical University,46,16.0,China
Chinese Academy and Sciences,46,0.0,China
Chongqing Technology and Business University,46,2.0,China
University of Shanghai for Science and Technology,45,3.0,China
National Pingtung University of Education,45,13.0,Taiwan
